DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,NUMBER_CHLD:Number of Living Children,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,SOWC_FLAG_F:SOWC flag F,SOWC_FLAG_E:SOWC flag E,SOWC_FLAG_D:SOWC flag D,SOWC_FLAG_C:SOWC flag C,SOWC_FLAG_A:SOWC flag A,SOWC_FLAG_B:SOWC flag B,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:PT(1.0): Child Protection,CIV: Côte d'Ivoire,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,12.4,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"ECVM 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,CIV: Côte d'Ivoire,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,13.3,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"ECVM 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,COM: Comoros,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,5.8,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,COM: Comoros,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,6.7,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,COM: Comoros,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,4.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,CRI: Costa Rica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,3.4,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,CRI: Costa Rica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,4,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,CRI: Costa Rica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,2.7,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,DOM: Dominican Republic,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2019,3.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RP: Reported,,"MICS 2019, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019,0: Not Known,
UNICEF:PT(1.0): Child Protection,DOM: Dominican Republic,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2019,4.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RP: Reported,,"MICS 2019, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019,0: Not Known,
UNICEF:PT(1.0): Child Protection,DOM: Dominican Republic,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2019,2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RP: Reported,,"MICS 2019, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019,0: Not Known,
UNICEF:PT(1.0): Child Protection,DZA: Algeria,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2019,1.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RP: Reported,,"MICS 2018-19, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018-19,0: Not Known,
